<<<<<<< HEAD
"CartLineID","Customers_T_CustomerID","Products_T_ProductID","Quantity"
2,25995,481521,72
1,45329,354152,275
1,35869,479115,32
2,17346,127901,76
4,721,317620,253
1,46566,376653,115
1,42952,121981,27
4,17476,349690,125
1,30524,44358,232
1,3105,182374,151
5,47157,152379,128
5,13275,390433,61
1,19849,339844,256
1,46100,134231,257
5,32635,367973,159
2,29155,217662,107
4,32702,19467,240
5,26418,25902,123
2,32364,233946,92
3,23691,451659,200
2,44086,355032,145
2,3087,389012,220
5,33578,337217,187
5,48221,367772,135
4,38912,167981,125
1,40457,155446,192
5,43008,417233,137
5,31109,248451,225
2,35767,108074,151
3,23905,296926,12
4,17507,96654,56
3,402,308866,111
5,12764,414387,57
5,35389,340817,168
2,7054,432928,67
3,2612,263752,244
3,27804,306656,140
5,13255,413624,84
2,47095,34169,1
3,30183,465918,280
1,25415,337073,37
3,44993,100840,264
3,5208,394061,87
4,31811,224209,300
1,20697,210080,19
4,42929,13983,64
4,34117,200330,203
3,11358,106941,84
2,6232,116814,77
2,32657,342481,247
4,20007,225904,69
1,39456,247862,127
3,16081,36218,177
4,38805,218677,117
4,22378,116065,289
1,7148,102829,264
3,21428,486396,173
5,44706,121852,156
3,15712,390181,263
5,31211,222581,56
3,8817,197302,225
1,6472,146861,92
5,16263,391556,231
5,3546,468147,9
1,43143,421254,39
1,5943,90289,247
3,40957,169270,100
4,1093,472421,196
2,13470,389174,43
1,13718,489524,80
3,27178,301691,115
4,32160,34836,149
4,5832,4786,196
4,27922,134656,121
5,28347,491076,211
2,32129,4433,44
5,36413,421389,29
1,31407,250412,200
5,34354,44435,115
3,23203,487075,183
4,40588,459750,33
1,6439,346970,240
3,45501,486224,217
1,25471,411106,187
4,11519,75305,261
4,30459,173537,116
5,18277,63003,21
3,14341,132922,177
5,20315,62871,273
2,25422,480364,253
2,39710,390873,25
3,36560,134524,77
1,14777,122105,127
3,20691,197724,239
3,39861,209166,161
5,26298,4934,7
1,26385,344037,161
2,12545,298521,124
5,21827,367308,120
3,3170,157498,91
5,45988,185807,272
1,34217,202618,187
2,5897,31868,135
3,47003,337315,283
1,47549,63086,125
3,14346,217619,117
1,13244,243500,21
3,8968,360704,63
5,39181,473312,32
4,873,49643,300
1,6552,293069,4
4,27186,189284,289
4,26123,215389,283
1,42470,319583,120
5,6282,120808,177
2,23431,465662,201
4,21902,494258,244
4,7399,107983,123
5,30914,139460,121
3,48510,271794,85
5,30127,498967,285
4,17267,211451,243
4,28440,77300,264
2,15508,418601,99
5,497,338268,173
5,44321,252339,43
5,46448,282618,260
1,11101,464653,213
2,16204,284284,25
3,43367,379145,209
4,36358,485407,172
4,1616,398851,183
5,45514,346277,28
2,2397,487530,87
3,2854,102786,243
5,34530,471368,180
1,7264,267388,127
3,16636,314799,207
1,35961,27930,247
1,1817,128172,161
1,17344,26792,40
3,49505,481642,299
5,17617,297639,111
2,23804,258244,243
4,1573,214547,173
3,43898,316648,239
3,36555,5094,253
5,34737,372184,135
1,41494,387438,85
5,44491,367432,125
3,40563,110877,243
4,13700,331697,25
3,18932,435072,151
1,6161,244668,52
3,13762,38859,276
3,36497,161422,157
3,32860,490343,156
5,38742,124074,168
1,31200,228222,204
4,11094,61466,148
1,43793,423780,83
5,11648,58570,56
5,43417,391315,52
5,41250,197427,169
1,20833,344411,300
2,30687,244574,180
1,15518,253324,173
4,33230,54266,155
3,17169,93864,13
2,26553,455277,56
5,47015,52678,31
3,4140,386381,180
3,12386,306553,76
3,4567,376635,289
5,29013,657,20
4,45620,7902,209
1,4766,477181,211
3,32532,54930,291
4,21401,341447,287
3,4459,442063,20
1,47491,25466,248
4,21117,383299,87
3,3297,77558,168
5,23978,388383,7
1,1422,394720,100
3,30537,242299,85
3,43548,114563,175
4,39554,174276,23
4,49014,418555,4
4,1631,259056,211
4,43578,428281,220
4,32401,85844,11
2,42586,135872,95
4,27571,23027,65
5,21950,269739,79
2,9937,269900,280
1,49286,336943,155
3,548,151950,97
4,25283,294314,299
4,40468,450653,92
2,34444,359305,101
3,34524,302192,77
5,11934,146912,120
3,3561,238792,243
5,2615,271531,255
3,33927,442095,111
4,15417,7866,212
5,19511,199015,119
1,37933,273040,68
5,29180,285058,245
3,7024,88306,1
1,30203,271372,91
2,19354,244147,213
1,36391,197501,159
1,47535,350837,47
4,3287,310223,8
5,31600,275070,139
4,7300,6304,253
5,20796,463000,161
1,34870,498543,141
3,5204,273397,267
3,21898,431027,241
4,21579,441150,112
3,44766,108534,31
2,36898,76745,236
1,49886,397499,191
1,44330,327008,269
3,39018,493064,223
2,40155,493274,244
4,8696,348645,91
5,2608,484798,275
1,21985,51216,77
4,10367,308459,108
1,46818,352170,140
3,35386,494218,95
4,15666,242380,252
3,3429,481553,13
1,32405,199000,57
1,42709,462109,289
4,26631,422961,172
5,40365,92497,283
1,14825,254809,284
2,43795,170047,125
4,10272,141924,209
5,45649,183791,181
5,9694,122012,197
4,47330,122802,24
2,32834,116431,27
5,48405,332403,80
2,1981,353964,259
2,23498,86366,176
3,34558,249068,105
5,31088,147643,103
1,26055,482101,289
3,46202,474178,67
5,34345,478057,280
3,4025,122210,81
3,25522,27036,199
2,43731,24330,275
5,10856,290235,189
2,2514,344933,137
4,35751,438431,181
5,40310,186048,239
4,14767,245853,99
1,41095,201396,255
2,8593,6661,73
1,21409,183548,297
5,25845,322562,224
4,10778,380553,188
2,35882,386811,27
4,1293,169748,137
3,4328,177508,88
2,43327,184418,1
3,24277,230761,37
5,42768,140589,181
3,29753,285688,68
2,20198,481174,227
3,19370,337227,123
3,16443,443507,227
2,34782,41604,235
1,9482,206869,217
4,48410,79888,195
1,5365,261265,52
4,21900,132940,288
3,36966,236084,73
5,12829,257262,209
3,2816,155667,157
4,29087,211155,176
4,34725,122766,204
3,11239,389562,273
3,12169,4264,280
1,11162,401604,33
2,48944,292826,233
5,386,259594,91
5,7875,78839,55
1,10103,175789,288
4,13846,490409,193
5,43972,307973,91
4,46859,354434,93
2,3317,291921,167
1,43918,383244,28
1,34928,170485,165
3,14282,292109,271
3,12610,429904,189
4,34913,366348,180
2,39680,90354,33
5,3957,166674,101
3,11853,103942,275
4,29223,461077,103
5,42288,12438,191
4,42368,444893,280
5,40427,212944,19
1,33842,328091,143
3,5546,326451,235
2,14228,339185,51
1,23236,281627,89
1,20137,430993,128
5,27875,341048,64
5,35994,60328,60
2,23143,26127,92
2,211,310401,119
1,47977,275530,60
1,20900,84006,73
1,5483,357786,64
2,45699,208719,175
2,27026,388105,197
1,6973,69444,257
1,24293,332336,267
3,4901,224075,117
4,28800,65357,257
3,36762,40554,112
2,3425,187556,265
3,25807,6129,108
2,1347,334773,248
2,44900,418327,87
5,13781,388628,123
4,20866,218239,244
1,14207,407493,172
3,43082,198932,236
3,41863,86202,123
5,49852,116868,159
5,20199,125634,136
5,36616,180013,167
3,20213,147574,60
4,2304,70143,255
5,10825,25935,299
5,47209,453747,120
5,29284,326662,291
1,37249,241037,97
3,21991,190031,37
3,35308,383878,261
5,13674,444947,52
2,36351,296784,299
4,25647,219143,133
5,7217,16456,276
3,9697,312408,201
2,22434,441677,148
3,1247,78409,23
3,14858,248255,192
2,43414,316796,297
5,27577,436059,160
3,23401,53353,283
2,5302,377566,60
3,28110,478543,125
5,992,278147,280
5,42550,372221,127
4,42292,5831,39
5,34964,174554,195
2,42670,348094,173
3,35521,428526,121
1,1840,496675,260
3,24232,445079,100
4,45286,233011,272
4,10506,433146,252
5,14652,296884,243
5,2064,63468,239
3,36256,328804,63
1,27694,291458,143
5,48752,240100,300
2,32390,478545,80
4,26491,385433,172
2,38167,499430,112
4,46131,446081,119
1,20721,197957,179
1,17455,94284,151
1,40561,4234,8
2,24408,296895,220
1,45504,26846,216
1,1863,141140,71
1,45275,231258,56
4,27990,314613,255
2,12914,242230,93
1,5765,254868,56
3,5101,141096,96
2,27167,139835,161
1,15909,462353,229
2,27120,479286,115
3,38616,73406,229
2,21414,16928,173
3,30706,198564,39
2,4488,406494,131
1,46514,342884,204
1,27249,343422,39
3,35648,363730,192
5,41447,129386,156
4,47165,248956,33
1,44941,198706,159
2,45581,77306,79
3,840,355148,169
3,23525,405598,284
2,18818,435120,108
1,7474,380506,56
5,4584,8949,285
4,9324,44186,129
3,10939,314817,36
3,43011,37227,151
4,13293,53582,168
1,8675,368540,77
4,8983,3078,205
4,5538,16297,135
5,43555,36271,261
3,27782,472670,236
4,12902,295210,105
3,38323,348377,185
1,31646,438417,201
2,34252,497810,147
4,26185,422189,59
2,28337,246832,288
2,32158,22569,39
2,35520,47094,75
2,28712,60806,276
5,39140,167372,277
3,906,442211,247
1,2310,247616,265
4,16563,96740,31
5,25655,66625,300
2,27357,161945,68
2,30788,211419,31
4,26331,150590,203
1,31394,133724,209
4,11251,392942,288
2,103,118053,152
2,26692,490233,232
5,13186,192410,113
3,34093,34649,125
1,18158,366858,208
3,34357,426001,121
1,5223,227972,80
3,5513,364059,255
1,45857,167821,217
5,42586,451932,43
2,31102,59169,176
2,21983,20257,123
2,11741,410418,145
5,11180,484506,203
3,35088,191406,184
4,48923,232557,132
1,24184,340983,25
4,3701,316263,177
1,29536,112101,157
1,22584,27125,109
5,20178,40095,203
2,5177,416787,117
3,4537,284141,153
1,10457,365331,152
2,46732,319945,217
1,9760,265830,140
1,36777,141042,148
2,23356,284400,192
2,24857,498293,243
5,39374,239341,64
3,11239,301246,139
2,18275,181969,212
5,4434,414477,157
2,16918,340870,229
3,42327,395700,293
4,32964,382016,147
2,9294,287693,133
1,33631,2734,45
1,18809,493723,96
3,16959,174173,181
3,7656,481615,125
5,23867,148668,247
2,8677,111166,21
2,23892,190415,231
3,23521,272765,195
4,39177,317873,247
1,35907,22341,255
2,5637,45931,69
3,26033,123115,275
5,28363,425826,300
1,9463,367942,13
3,49163,23924,193
1,42965,225458,149
2,9601,312978,40
1,26453,69859,155
2,462,101397,47
4,24466,452832,73
4,48974,371571,288
3,23972,427041,167
4,7674,385354,209
2,23696,314590,105
2,1957,378960,221
2,18048,158238,300
4,25833,110548,27
5,47572,32886,197
4,20095,197623,269
2,18353,383089,27
2,34685,396912,88
3,1494,390169,271
3,9065,98592,157
5,24031,485996,20
5,14636,115160,85
1,8982,2928,43
2,31153,82570,285
2,27208,162309,241
5,145,80103,200
3,17983,314293,239
2,4524,275175,292
5,21791,450785,169
5,10668,53092,129
5,26956,328894,188
2,15148,187004,247
1,16644,327796,83
3,2036,343181,168
2,5747,339608,88
3,22550,36300,216
3,9855,320594,295
5,9559,336561,129
1,43793,139278,295
1,9196,428033,80
5,39914,123472,91
5,10355,286356,105
4,46228,270157,183
4,15531,478051,85
4,28759,20955,104
4,40812,381187,260
4,43108,83538,100
2,26723,261972,77
5,48200,86978,188
4,16030,412782,35
3,45651,29935,97
5,2376,183703,156
3,46532,308533,197
4,22056,30699,175
2,33024,276646,183
2,27198,172597,69
2,33516,209876,176
3,15930,400237,135
4,10314,128247,108
2,44529,319489,181
4,44873,217348,240
1,40045,292370,167
3,27766,22041,88
5,4898,53922,87
1,42641,191288,263
3,36156,33339,105
5,39550,88343,119
2,19811,181645,191
4,33153,408529,209
4,30189,466274,252
5,42149,150397,143
3,3680,110570,172
2,46054,394372,281
3,41885,5273,265
1,12770,139660,223
4,41578,384625,188
1,47392,142815,164
2,11440,263805,275
2,4936,320819,137
3,22718,369278,43
2,21574,60744,253
2,16372,111334,203
2,39676,289904,135
1,44992,466749,95
1,24642,86261,215
3,31522,430454,275
1,3789,52782,112
5,8926,113614,119
5,17203,286333,140
1,36790,250086,33
1,35927,452570,3
5,38428,226990,193
5,10545,83217,193
4,49086,334981,99
4,40975,425871,271
5,43655,269731,257
3,25263,98909,43
2,38050,48044,81
3,19873,444926,300
4,36819,114874,85
1,6674,325892,21
3,6573,338521,176
2,47520,223960,140
5,38036,319194,103
4,24461,366707,157
1,1126,446505,84
3,25730,325329,143
1,30288,218876,73
5,21587,495602,89
5,10676,11509,4
4,9419,492292,108
5,46090,6368,249
4,472,266610,227
4,49798,107363,143
4,28335,85286,239
2,49328,306008,115
5,33695,193613,237
2,44633,272879,223
3,37842,498435,57
3,17810,31179,17
2,34406,182617,231
5,15436,375808,219
2,13460,126825,84
1,31097,477508,237
5,44896,227943,93
2,36387,408687,259
2,2714,184387,84
3,45032,26716,224
2,38023,438017,289
3,25156,280759,64
3,38770,96010,163
3,33599,300246,40
3,28257,382191,145
5,24374,484482,184
4,5522,42158,83
4,33365,494205,148
1,3889,461605,15
2,312,461213,109
3,29908,359974,240
4,30149,340771,283
4,14494,47823,268
4,43676,70731,109
4,350,143462,176
1,22722,412205,156
2,17585,412522,181
5,30354,277063,275
3,28917,11865,11
2,30960,22024,56
2,32624,57004,181
4,15163,77307,136
5,28248,477376,205
4,46314,299919,164
5,34555,205584,271
4,1544,452394,31
4,41902,265993,83
3,41066,470920,128
4,28273,494083,225
4,44237,279830,161
2,42725,247266,141
3,28402,64869,277
4,13544,326901,77
3,36913,18827,213
1,44541,222811,29
3,49276,48529,73
4,29588,375678,45
1,20514,472897,136
4,30114,143743,20
2,14161,259181,4
5,31721,402829,260
2,14507,400875,61
5,35376,43428,220
3,43574,467687,137
4,14258,262755,260
1,2088,118869,151
2,10279,392187,193
3,37179,18129,165
2,15139,63420,237
2,34342,199115,145
4,43501,342267,237
5,26373,32338,191
1,37624,308704,223
5,13578,431552,149
1,8057,70992,103
1,43190,64679,180
3,12744,237561,3
1,33595,392808,57
5,48551,138266,131
4,32638,230804,124
2,11963,30310,75
1,19728,11746,259
1,33866,476472,208
4,30092,195217,45
1,40629,164153,235
4,37517,385573,151
2,47570,162891,196
3,27119,12766,179
2,1694,200664,69
3,5150,436544,91
2,26523,131392,59
3,12910,352307,248
5,38874,484678,245
3,5777,437449,124
4,45673,67651,211
4,5089,487158,76
2,49599,59589,131
1,5539,435959,133
2,27721,207687,235
5,7704,338191,36
4,2033,66146,128
2,49413,225165,256
5,44760,134147,153
4,15912,150617,48
4,11824,113496,175
1,47322,436781,215
2,1535,60243,121
4,38103,305896,80
4,13672,294606,41
1,36724,307663,239
2,17061,204048,205
1,48708,217483,184
1,24023,300863,149
4,35053,87995,259
3,26663,34059,55
5,16939,170016,72
5,4638,222274,25
1,20121,324191,297
5,49433,292069,264
1,2428,204655,12
1,36465,78216,152
4,33405,242666,48
1,11897,185896,167
5,43233,273929,200
5,47840,200607,231
5,23004,337813,40
4,49483,209771,260
4,15332,470433,53
3,41611,487433,29
3,40302,496926,172
5,39129,263905,164
3,15807,33142,177
3,22255,357174,11
3,28766,98123,105
3,30379,261593,104
4,29493,146880,249
5,22438,377213,105
3,46083,93394,269
4,23072,117928,83
1,37380,419080,171
3,3933,300994,37
1,17982,134092,233
3,29682,473860,89
2,4216,104583,180
1,28129,172894,220
4,26098,4738,73
5,42424,378090,85
1,26991,55886,267
2,28240,131215,204
4,45369,427796,101
2,35945,1425,225
2,35788,255701,19
5,20546,428843,169
5,10477,486653,273
3,16763,299263,259
5,2972,155894,93
4,25832,491056,183
4,35025,50752,187
3,13047,47629,121
3,42725,281142,275
1,16261,35127,188
4,47071,421570,255
4,16811,258559,248
3,34400,337585,291
5,39424,479824,252
1,48948,201098,157
2,20178,341171,227
3,2332,445450,51
3,14340,437294,256
3,26686,301443,191
2,32740,176961,185
5,35807,320848,271
3,3923,148190,132
5,49646,470549,15
5,6215,246025,63
4,4275,158517,15
2,14363,290355,295
5,37915,213433,33
3,9929,280390,175
5,42109,360463,228
5,23671,336310,65
2,12226,446896,129
1,17509,356379,263
5,12311,450437,51
3,4079,8666,280
5,49093,280344,265
3,21027,479470,260
1,37993,428898,36
2,28079,491048,272
4,34304,341127,159
2,39406,93609,3
3,3572,70699,229
5,42225,234350,15
5,34786,56586,228
4,47862,32744,219
1,21685,33234,181
3,33671,26032,33
2,7970,22694,185
2,13251,370546,165
4,41253,296973,276
1,41872,126716,112
1,32411,176957,95
5,26701,141382,27
1,7217,272286,15
3,32881,198225,105
1,2021,37464,96
2,21865,478190,81
3,29838,464366,191
2,31313,19535,143
1,27329,406391,201
4,38582,21305,57
1,46724,448982,25
2,33704,138786,241
5,45656,312645,79
2,15491,282339,100
1,20026,131383,120
2,2046,255548,21
1,24673,143698,300
2,13756,192786,267
3,26628,188860,287
4,7353,71075,41
2,7490,109142,55
3,2357,88939,3
1,42076,319273,300
5,6856,118889,268
4,49669,208442,148
3,43186,471011,261
1,14286,457431,27
4,17290,9065,241
4,41663,181267,123
1,30208,63876,292
2,3952,320451,188
5,9444,134141,272
4,15016,374064,269
2,1667,61775,267
1,7001,367051,47
1,21426,171384,132
5,41421,414791,175
5,35623,148911,163
1,13677,459141,44
2,47078,377837,84
5,22805,230268,68
2,32541,247526,95
2,1723,319882,112
5,6503,470764,209
3,26357,450849,60
4,22632,70810,168
3,30589,263024,83
4,33289,453739,173
4,30097,443336,121
1,49379,29753,281
3,28030,183990,236
5,44447,305026,248
5,15085,349733,77
3,48183,123841,17
1,32959,417101,8
2,23374,288205,4
3,5188,78632,229
1,42993,383710,211
4,19913,490738,60
5,12972,186143,223
1,32834,199963,297
2,5083,255810,280
1,46233,122042,104
4,19139,420298,145
1,2000,5376,69
3,38415,462121,205
5,34636,47853,205
4,35391,447063,183
1,5156,50288,152
4,17578,413757,172
5,32420,474219,196
3,43624,198447,261
1,38368,390496,17
1,49863,357893,153
4,47057,414434,231
1,34203,237387,183
2,15395,11518,272
3,35789,82113,27
1,47094,275931,49
5,5468,33572,241
1,46537,174543,87
2,38603,191210,153
3,26706,444302,169
2,31225,416440,185
4,33488,27358,299
4,14889,408741,271
4,2510,245158,11
1,39419,464010,232
5,12198,376690,9
3,41674,258421,209
4,9499,111272,289
3,45187,38932,52
1,26108,130405,68
5,39601,398161,232
4,7806,108192,172
1,36797,218553,112
2,45580,79316,97
4,37053,165030,236
2,36955,272232,183
4,22467,229907,129
3,41402,447270,279
3,39521,252523,144
4,18879,288798,55
3,22174,187058,63
5,4496,386122,85
5,8900,48366,1
2,2324,433841,299
3,19381,214051,117
5,30936,78469,11
2,7404,110438,97
4,20759,190572,249
5,11396,26986,101
2,49439,158160,151
3,20570,115579,239
3,12415,409100,13
3,5434,128885,268
5,41278,385060,221
3,24319,78524,76
2,17277,374088,247
4,24633,162220,136
4,21790,133527,63
5,13066,496172,293
3,16931,106332,236
3,37984,117647,151
4,9533,348112,116
3,40349,198031,84
3,6480,6696,233
3,49598,232938,25
1,48604,382545,200
5,29041,85862,181
4,31798,479413,211
4,28196,164053,120
2,17837,424541,237
2,34486,37814,221
5,19617,125850,1
4,18146,133226,156
5,44004,54402,60
5,3872,244743,49
3,6624,419345,8
4,47791,111636,280
5,39015,130400,25
3,30613,401634,275
2,40090,485686,149
2,33240,130559,49
2,26865,370746,291
5,36582,291470,87
5,6727,106732,127
5,34354,132832,215
2,27430,194070,104
2,33318,491583,165
3,16049,57338,59
2,20433,351569,125
3,11814,322118,293
1,12330,131197,57
1,10742,432617,177
2,31931,17453,208
2,45195,489570,269
2,43786,409969,16
1,12863,275407,292
5,12764,279946,289
4,33315,433131,105
2,29400,455528,135
5,14806,153843,111
4,8698,390590,248
3,46392,386101,296
3,26991,268286,251
4,9025,51036,205
3,7490,117090,241
1,16457,15633,255
3,37936,197634,121
1,33747,322941,244
3,12307,359833,221
4,42689,124394,51
3,42054,52390,173
2,4307,87957,112
1,41830,339707,51
3,44181,389232,37
5,37154,484503,97
5,14776,397678,132
3,14247,194392,72
2,31789,380215,248
3,48121,272842,61
1,44013,156297,240
2,9958,355723,49
4,19349,104115,185
3,2811,240296,205
3,9759,450142,120
5,8188,41439,141
3,45977,38063,292
1,33026,364220,261
1,28929,333489,147
3,45039,35911,87
4,4583,275559,227
5,44935,48146,260
4,17416,60111,52
2,26103,174123,244
5,16099,476146,177
2,20092,324907,105
2,12877,266202,99
4,9872,13990,300
1,4359,437612,269
2,30678,491018,212
4,271,395437,168
2,7905,147414,252
1,31178,152492,251
4,39222,190296,63
1,29193,106164,93
3,1437,37076,137
3,21929,220969,95
2,17249,15782,15
5,10361,113123,159
4,18784,470151,69
5,40737,390932,300
5,20440,36434,19
4,29619,391111,237
1,23618,483272,72
5,22355,398551,279
3,21227,349740,61
3,47314,120050,37
3,16199,411167,251
2,19967,436657,224
3,47354,66904,283
2,22973,392732,49
3,28671,75410,128
2,1521,312030,236
1,21640,31308,225
3,10567,378753,243
2,14151,86014,37
1,26626,211264,24
2,19069,435215,109
5,39954,122495,15
4,21612,51894,83
3,8450,250331,69
4,23459,34306,23
4,5989,363121,16
4,37535,152484,107
4,40744,355026,188
2,28849,374690,289
2,43741,131892,247
1,30117,119367,36
2,7061,109153,161
2,44145,20561,57
2,33518,53205,239
1,38290,446375,53
1,29291,238739,11
2,47115,275527,80
5,31749,294638,100
2,18267,111104,39
3,5101,304714,293
5,41466,27748,177
1,44113,281298,104
4,42180,368590,200
1,48712,281895,233
3,26213,348133,121
2,25484,7230,7
3,11870,492759,109
5,16128,283702,252
4,24840,221251,89
4,19556,466236,192
1,46502,42237,279
4,13248,373878,96
3,23283,438555,151
2,22939,428141,63
2,14006,77281,228
1,40284,352753,36
1,47158,100737,209
3,15535,27469,69
2,31892,170413,95
2,25769,360503,263
2,17598,83425,57
3,21220,371649,4
2,12499,200561,276
1,6743,477360,15
3,27580,379707,197
4,15724,369426,300
1,19682,40028,17
2,47063,249097,63
3,39748,316117,199
3,30169,256815,183
5,15087,464424,192
4,19009,322734,36
5,6927,233090,176
2,3143,64571,243
3,26509,276418,16
1,23398,317251,272
5,23485,400745,185
3,6,445858,175
1,42143,392696,159
3,21233,128649,41
1,11612,181465,219
4,36381,484031,45
4,18253,211215,257
2,46395,441340,219
1,10162,278708,233
5,24562,259969,256
2,2274,437474,109
4,25221,165709,191
3,13390,80806,212
3,25347,333229,33
1,26245,39576,192
5,42265,141529,143
4,46766,355917,220
5,14414,56853,7
3,15641,11080,133
2,38321,105922,3
3,38702,365117,215
2,48145,173197,235
3,17195,492748,248
1,24418,19851,155
5,39966,197736,277
4,8607,30415,223
1,45443,310367,104
2,8695,156643,267
5,15571,141163,207
2,16802,45831,47
3,22436,468902,89
4,40158,477694,89
2,22495,498021,25
1,48268,250389,265
3,39754,144273,35
5,9331,288924,295
1,19567,310724,55
2,10364,468245,136
2,24878,74354,284
2,10805,431380,165
1,21155,175021,31
4,4535,453836,225
1,30132,450938,233
4,17318,207999,148
3,41162,198155,32
3,7950,188218,211
4,4743,238910,185
3,25120,245204,235
5,25594,147375,95
