"FrameTypeID","FrameColorDescription","FrameShapeDescription"
204,"Bazaar","Oval"
205,"Bazaar","Sport"
206,"Beau Blue","Cat Eye"
207,"Beau Blue","Aviator"
208,"Beau Blue","Rimless"
209,"Beau Blue","Oval"
210,"Beau Blue","Sport"
211,"Beaver","Cat Eye"
212,"Beaver","Aviator"
213,"Beaver","Rimless"
214,"Beaver","Oval"
215,"Beaver","Sport"
216,"Beige","Cat Eye"
217,"Beige","Aviator"
218,"Beige","Rimless"
219,"Beige","Oval"
220,"Beige","Sport"
221,"Big Dip O’Ruby","Cat Eye"
222,"Big Dip O’Ruby","Aviator"
223,"Big Dip O’Ruby","Rimless"
224,"Big Dip O’Ruby","Oval"
225,"Big Dip O’Ruby","Sport"
226,"Bisque","Cat Eye"
227,"Bisque","Aviator"
228,"Bisque","Rimless"
229,"Bisque","Oval"
230,"Bisque","Sport"
231,"Bistre","Cat Eye"
232,"Bistre","Aviator"
233,"Bistre","Rimless"
234,"Bistre","Oval"
235,"Bistre","Sport"
236,"Bittersweet","Cat Eye"
237,"Bittersweet","Aviator"
238,"Bittersweet","Rimless"
239,"Bittersweet","Oval"
240,"Bittersweet","Sport"
241,"Bittersweet Shimmer","Cat Eye"
242,"Bittersweet Shimmer","Aviator"
243,"Bittersweet Shimmer","Rimless"
244,"Bittersweet Shimmer","Oval"
245,"Bittersweet Shimmer","Sport"
246,"Black","Cat Eye"
247,"Black","Aviator"
248,"Black","Rimless"
249,"Black","Oval"
250,"Black","Sport"
251,"Black Bean","Cat Eye"
252,"Black Bean","Aviator"
253,"Black Bean","Rimless"
254,"Black Bean","Oval"
255,"Black Bean","Sport"
256,"Black Leather Jacket","Cat Eye"
257,"Black Leather Jacket","Aviator"
258,"Black Leather Jacket","Rimless"
259,"Black Leather Jacket","Oval"
260,"Black Leather Jacket","Sport"
261,"Black Olive","Cat Eye"
262,"Black Olive","Aviator"
263,"Black Olive","Rimless"
264,"Black Olive","Oval"
265,"Black Olive","Sport"
266,"Blanched Almond","Cat Eye"
267,"Blanched Almond","Aviator"
268,"Blanched Almond","Rimless"
269,"Blanched Almond","Oval"
270,"Blanched Almond","Sport"
271,"Blast-Off Bronze","Cat Eye"
272,"Blast-Off Bronze","Aviator"
273,"Blast-Off Bronze","Rimless"
274,"Blast-Off Bronze","Oval"
275,"Blast-Off Bronze","Sport"
276,"Bleu De France","Cat Eye"
277,"Bleu De France","Aviator"
278,"Bleu De France","Rimless"
279,"Bleu De France","Oval"
280,"Bleu De France","Sport"
281,"Blizzard Blue","Cat Eye"
282,"Blizzard Blue","Aviator"
283,"Blizzard Blue","Rimless"
284,"Blizzard Blue","Oval"
285,"Blizzard Blue","Sport"
286,"Blond","Cat Eye"
287,"Blond","Aviator"
288,"Blond","Rimless"
289,"Blond","Oval"
290,"Blond","Sport"
291,"Blue","Cat Eye"
292,"Blue","Aviator"
293,"Blue","Rimless"
294,"Blue","Oval"
295,"Blue","Sport"
296,"Blue Bell","Cat Eye"
297,"Blue Bell","Aviator"
298,"Blue Bell","Rimless"
299,"Blue Bell","Oval"
300,"Blue Bell","Sport"
301,"Blue Gray","Cat Eye"
302,"Blue Gray","Aviator"
303,"Blue Gray","Rimless"
304,"Blue Gray","Oval"
305,"Blue Gray","Sport"
306,"Blue-Green","Cat Eye"
307,"Blue-Green","Aviator"
308,"Blue-Green","Rimless"
309,"Blue-Green","Oval"
310,"Blue-Green","Sport"
311,"Blue Sapphire","Cat Eye"
312,"Blue Sapphire","Aviator"
313,"Blue Sapphire","Rimless"
314,"Blue Sapphire","Oval"
315,"Blue Sapphire","Sport"
316,"Blue-Violet","Cat Eye"
317,"Blue-Violet","Aviator"
318,"Blue-Violet","Rimless"
319,"Blue-Violet","Oval"
320,"Blue-Violet","Sport"
321,"Blush","Cat Eye"
322,"Blush","Aviator"
323,"Blush","Rimless"
324,"Blush","Oval"
325,"Blush","Sport"
326,"Bole","Cat Eye"
327,"Bole","Aviator"
328,"Bole","Rimless"
329,"Bole","Oval"
330,"Bole","Sport"
331,"Bondi Blue","Cat Eye"
332,"Bondi Blue","Aviator"
333,"Bondi Blue","Rimless"
334,"Bondi Blue","Oval"
335,"Bondi Blue","Sport"
336,"Bone","Cat Eye"
337,"Bone","Aviator"
338,"Bone","Rimless"
339,"Bone","Oval"
340,"Bone","Sport"
341,"Boston University Red","Cat Eye"
342,"Boston University Red","Aviator"
343,"Boston University Red","Rimless"
344,"Boston University Red","Oval"
345,"Boston University Red","Sport"
346,"Bottle Green","Cat Eye"
347,"Bottle Green","Aviator"
348,"Bottle Green","Rimless"
349,"Bottle Green","Oval"
350,"Bottle Green","Sport"
351,"Boysenberry","Cat Eye"
352,"Boysenberry","Aviator"
353,"Boysenberry","Rimless"
354,"Boysenberry","Oval"
355,"Boysenberry","Sport"
356,"Brandeis Blue","Cat Eye"
357,"Brandeis Blue","Aviator"
358,"Brandeis Blue","Rimless"
359,"Brandeis Blue","Oval"
360,"Brandeis Blue","Sport"
361,"Brass","Cat Eye"
362,"Brass","Aviator"
363,"Brass","Rimless"
364,"Brass","Oval"
365,"Brass","Sport"
366,"Brick Red","Cat Eye"
367,"Brick Red","Aviator"
368,"Brick Red","Rimless"
369,"Brick Red","Oval"
370,"Brick Red","Sport"
371,"Bright Cerulean","Cat Eye"
372,"Bright Cerulean","Aviator"
373,"Bright Cerulean","Rimless"
374,"Bright Cerulean","Oval"
375,"Bright Cerulean","Sport"
376,"Bright Green","Cat Eye"
377,"Bright Green","Aviator"
378,"Bright Green","Rimless"
379,"Bright Green","Oval"
380,"Bright Green","Sport"
381,"Bright Lavender","Cat Eye"
382,"Bright Lavender","Aviator"
383,"Bright Lavender","Rimless"
384,"Bright Lavender","Oval"
385,"Bright Lavender","Sport"
386,"Bright Maroon","Cat Eye"
387,"Bright Maroon","Aviator"
388,"Bright Maroon","Rimless"
389,"Bright Maroon","Oval"
390,"Bright Maroon","Sport"
391,"Bright Pink","Cat Eye"
392,"Bright Pink","Aviator"
393,"Bright Pink","Rimless"
394,"Bright Pink","Oval"
395,"Bright Pink","Sport"
396,"Bright Turquoise","Cat Eye"
397,"Bright Turquoise","Aviator"
398,"Bright Turquoise","Rimless"
399,"Bright Turquoise","Oval"
400,"Bright Turquoise","Sport"
401,"Bright Ube","Cat Eye"
402,"Bright Ube","Aviator"
403,"Bright Ube","Rimless"
404,"Bright Ube","Oval"
405,"Bright Ube","Sport"
406,"Brilliant Lavender","Cat Eye"
407,"Brilliant Lavender","Aviator"
408,"Brilliant Lavender","Rimless"
409,"Brilliant Lavender","Oval"
410,"Brilliant Lavender","Sport"
411,"Brilliant Rose","Cat Eye"
412,"Brilliant Rose","Aviator"
413,"Brilliant Rose","Rimless"
414,"Brilliant Rose","Oval"
415,"Brilliant Rose","Sport"
416,"Brink Pink","Cat Eye"
417,"Brink Pink","Aviator"
418,"Brink Pink","Rimless"
419,"Brink Pink","Oval"
420,"Brink Pink","Sport"
421,"British Racing Green","Cat Eye"
422,"British Racing Green","Aviator"
423,"British Racing Green","Rimless"
424,"British Racing Green","Oval"
425,"British Racing Green","Sport"
426,"Bronze","Cat Eye"
427,"Bronze","Aviator"
428,"Bronze","Rimless"
429,"Bronze","Oval"
430,"Bronze","Sport"
431,"Bubble Gum","Cat Eye"
432,"Bubble Gum","Aviator"
433,"Bubble Gum","Rimless"
434,"Bubble Gum","Oval"
435,"Bubble Gum","Sport"
436,"Bubbles","Cat Eye"
437,"Bubbles","Aviator"
438,"Bubbles","Rimless"
439,"Bubbles","Oval"
440,"Bubbles","Sport"
441,"Buff","Cat Eye"
442,"Buff","Aviator"
443,"Buff","Rimless"
444,"Buff","Oval"
445,"Buff","Sport"
446,"Bulgarian Rose","Cat Eye"
447,"Bulgarian Rose","Aviator"
448,"Bulgarian Rose","Rimless"
449,"Bulgarian Rose","Oval"
450,"Bulgarian Rose","Sport"
451,"Burgundy","Cat Eye"
452,"Burgundy","Aviator"
453,"Burgundy","Rimless"
454,"Burgundy","Oval"
455,"Burgundy","Sport"
456,"Burlywood","Cat Eye"
457,"Burlywood","Aviator"
458,"Burlywood","Rimless"
459,"Burlywood","Oval"
460,"Burlywood","Sport"
461,"Burnt Orange","Cat Eye"
462,"Burnt Orange","Aviator"
463,"Burnt Orange","Rimless"
464,"Burnt Orange","Oval"
465,"Burnt Orange","Sport"
466,"Burnt Sienna","Cat Eye"
467,"Burnt Sienna","Aviator"
468,"Burnt Sienna","Rimless"
469,"Burnt Sienna","Oval"
470,"Burnt Sienna","Sport"
471,"Burnt Umber","Cat Eye"
472,"Burnt Umber","Aviator"
473,"Burnt Umber","Rimless"
474,"Burnt Umber","Oval"
475,"Burnt Umber","Sport"
476,"Byzantine","Cat Eye"
477,"Byzantine","Aviator"
478,"Byzantine","Rimless"
479,"Byzantine","Oval"
480,"Byzantine","Sport"
481,"Byzantium","Cat Eye"
482,"Byzantium","Aviator"
483,"Byzantium","Rimless"
484,"Byzantium","Oval"
485,"Byzantium","Sport"
486,"Cadet","Cat Eye"
487,"Cadet","Aviator"
488,"Cadet","Rimless"
489,"Cadet","Oval"
490,"Cadet","Sport"
491,"Cadet Blue","Cat Eye"
492,"Cadet Blue","Aviator"
493,"Cadet Blue","Rimless"
494,"Cadet Blue","Oval"
495,"Cadet Blue","Sport"
496,"Cadet Grey","Cat Eye"
497,"Cadet Grey","Aviator"
498,"Cadet Grey","Rimless"
499,"Cadet Grey","Oval"
500,"Cadet Grey","Sport"
501,"Cadmium Green","Cat Eye"
502,"Cadmium Green","Aviator"
503,"Cadmium Green","Rimless"
504,"Cadmium Green","Oval"
505,"Cadmium Green","Sport"
506,"Cadmium Orange","Cat Eye"
507,"Cadmium Orange","Aviator"
508,"Cadmium Orange","Rimless"
509,"Cadmium Orange","Oval"
510,"Cadmium Orange","Sport"
511,"Cadmium Red","Cat Eye"
512,"Cadmium Red","Aviator"
513,"Cadmium Red","Rimless"
514,"Cadmium Red","Oval"
515,"Cadmium Red","Sport"
516,"Cadmium Yellow","Cat Eye"
517,"Cadmium Yellow","Aviator"
518,"Cadmium Yellow","Rimless"
519,"Cadmium Yellow","Oval"
520,"Cadmium Yellow","Sport"
521,"Café Au Lait","Cat Eye"
522,"Café Au Lait","Aviator"
523,"Café Au Lait","Rimless"
524,"Café Au Lait","Oval"
525,"Café Au Lait","Sport"
526,"Café Noir","Cat Eye"
527,"Café Noir","Aviator"
528,"Café Noir","Rimless"
529,"Café Noir","Oval"
530,"Café Noir","Sport"
531,"Cal Poly Green","Cat Eye"
532,"Cal Poly Green","Aviator"
533,"Cal Poly Green","Rimless"
534,"Cal Poly Green","Oval"
535,"Cal Poly Green","Sport"
536,"Cambridge Blue","Cat Eye"
537,"Cambridge Blue","Aviator"
538,"Cambridge Blue","Rimless"
539,"Cambridge Blue","Oval"
540,"Cambridge Blue","Sport"
541,"Camel","Cat Eye"
542,"Camel","Aviator"
543,"Camel","Rimless"
544,"Camel","Oval"
545,"Camel","Sport"
546,"Cameo Pink","Cat Eye"
547,"Cameo Pink","Aviator"
548,"Cameo Pink","Rimless"
549,"Cameo Pink","Oval"
550,"Cameo Pink","Sport"
551,"Camouflage Green","Cat Eye"
552,"Camouflage Green","Aviator"
553,"Camouflage Green","Rimless"
554,"Camouflage Green","Oval"
555,"Camouflage Green","Sport"
556,"Canary Yellow","Cat Eye"
557,"Canary Yellow","Aviator"
558,"Canary Yellow","Rimless"
559,"Canary Yellow","Oval"
560,"Canary Yellow","Sport"
561,"Candy Apple Red","Cat Eye"
562,"Candy Apple Red","Aviator"
563,"Candy Apple Red","Rimless"
564,"Candy Apple Red","Oval"
565,"Candy Apple Red","Sport"
566,"Candy Pink","Cat Eye"
567,"Candy Pink","Aviator"
568,"Candy Pink","Rimless"
569,"Candy Pink","Oval"
570,"Candy Pink","Sport"
571,"Capri","Cat Eye"
572,"Capri","Aviator"
573,"Capri","Rimless"
574,"Capri","Oval"
575,"Capri","Sport"
576,"Caput Mortuum","Cat Eye"
577,"Caput Mortuum","Aviator"
578,"Caput Mortuum","Rimless"
579,"Caput Mortuum","Oval"
580,"Caput Mortuum","Sport"
581,"Cardinal","Cat Eye"
582,"Cardinal","Aviator"
583,"Cardinal","Rimless"
584,"Cardinal","Oval"
585,"Cardinal","Sport"
586,"Caribbean Green","Cat Eye"
587,"Caribbean Green","Aviator"
588,"Caribbean Green","Rimless"
589,"Caribbean Green","Oval"
590,"Caribbean Green","Sport"
591,"Carmine","Cat Eye"
592,"Carmine","Aviator"
593,"Carmine","Rimless"
594,"Carmine","Oval"
595,"Carmine","Sport"
596,"Carmine Pink","Cat Eye"
597,"Carmine Pink","Aviator"
598,"Carmine Pink","Rimless"
599,"Carmine Pink","Oval"
600,"Carmine Pink","Sport"
601,"Carmine Red","Cat Eye"
602,"Carmine Red","Aviator"
603,"Carmine Red","Rimless"
604,"Carmine Red","Oval"
605,"Carmine Red","Sport"
606,"Carnation Pink","Cat Eye"
607,"Carnation Pink","Aviator"
608,"Carnation Pink","Rimless"
609,"Carnation Pink","Oval"
610,"Carnation Pink","Sport"
611,"Carnelian","Cat Eye"
612,"Carnelian","Aviator"
613,"Carnelian","Rimless"
614,"Carnelian","Oval"
615,"Carnelian","Sport"
616,"Carolina Blue","Cat Eye"
617,"Carolina Blue","Aviator"
618,"Carolina Blue","Rimless"
619,"Carolina Blue","Oval"
620,"Carolina Blue","Sport"
621,"Carrot Orange","Cat Eye"
622,"Carrot Orange","Aviator"
623,"Carrot Orange","Rimless"
624,"Carrot Orange","Oval"
625,"Carrot Orange","Sport"
626,"Catalina Blue","Cat Eye"
627,"Catalina Blue","Aviator"
628,"Catalina Blue","Rimless"
629,"Catalina Blue","Oval"
630,"Catalina Blue","Sport"
631,"Ceil","Cat Eye"
632,"Ceil","Aviator"
633,"Ceil","Rimless"
634,"Ceil","Oval"
635,"Ceil","Sport"
636,"Celadon","Cat Eye"
637,"Celadon","Aviator"
638,"Celadon","Rimless"
639,"Celadon","Oval"
640,"Celadon","Sport"
641,"Celadon Blue","Cat Eye"
642,"Celadon Blue","Aviator"
643,"Celadon Blue","Rimless"
644,"Celadon Blue","Oval"
645,"Celadon Blue","Sport"
646,"Celadon Green","Cat Eye"
647,"Celadon Green","Aviator"
648,"Celadon Green","Rimless"
649,"Celadon Green","Oval"
650,"Celadon Green","Sport"
651,"Celestial Blue","Cat Eye"
652,"Celestial Blue","Aviator"
653,"Celestial Blue","Rimless"
654,"Celestial Blue","Oval"
655,"Celestial Blue","Sport"
656,"Cerise","Cat Eye"
657,"Cerise","Aviator"
658,"Cerise","Rimless"
659,"Cerise","Oval"
660,"Cerise","Sport"
661,"Cerise Pink","Cat Eye"
662,"Cerise Pink","Aviator"
663,"Cerise Pink","Rimless"
664,"Cerise Pink","Oval"
665,"Cerise Pink","Sport"
666,"Cerulean","Cat Eye"
667,"Cerulean","Aviator"
668,"Cerulean","Rimless"
669,"Cerulean","Oval"
670,"Cerulean","Sport"
671,"Cerulean Blue","Cat Eye"
672,"Cerulean Blue","Aviator"
673,"Cerulean Blue","Rimless"
674,"Cerulean Blue","Oval"
675,"Cerulean Blue","Sport"
676,"Cerulean Frost","Cat Eye"
677,"Cerulean Frost","Aviator"
678,"Cerulean Frost","Rimless"
679,"Cerulean Frost","Oval"
680,"Cerulean Frost","Sport"
681,"Cg Blue","Cat Eye"
682,"Cg Blue","Aviator"
683,"Cg Blue","Rimless"
684,"Cg Blue","Oval"
685,"Cg Blue","Sport"
686,"Cg Red","Cat Eye"
687,"Cg Red","Aviator"
688,"Cg Red","Rimless"
689,"Cg Red","Oval"
690,"Cg Red","Sport"
691,"Chamoisee","Cat Eye"
692,"Chamoisee","Aviator"
693,"Chamoisee","Rimless"
694,"Chamoisee","Oval"
695,"Chamoisee","Sport"
696,"Champagne","Cat Eye"
697,"Champagne","Aviator"
698,"Champagne","Rimless"
699,"Champagne","Oval"
700,"Champagne","Sport"
701,"Charcoal","Cat Eye"
702,"Charcoal","Aviator"
703,"Charcoal","Rimless"
704,"Charcoal","Oval"
705,"Charcoal","Sport"
706,"Charm Pink","Cat Eye"
707,"Charm Pink","Aviator"
708,"Charm Pink","Rimless"
709,"Charm Pink","Oval"
710,"Charm Pink","Sport"
711,"Cherry","Cat Eye"
712,"Cherry","Aviator"
713,"Cherry","Rimless"
714,"Cherry","Oval"
715,"Cherry","Sport"
716,"Cherry Blossom Pink","Cat Eye"
717,"Cherry Blossom Pink","Aviator"
718,"Cherry Blossom Pink","Rimless"
719,"Cherry Blossom Pink","Oval"
720,"Cherry Blossom Pink","Sport"
721,"Chestnut","Cat Eye"
722,"Chestnut","Aviator"
723,"Chestnut","Rimless"
724,"Chestnut","Oval"
725,"Chestnut","Sport"
726,"China Pink","Cat Eye"
727,"China Pink","Aviator"
728,"China Pink","Rimless"
729,"China Pink","Oval"
730,"China Pink","Sport"
731,"China Rose","Cat Eye"
732,"China Rose","Aviator"
733,"China Rose","Rimless"
734,"China Rose","Oval"
735,"China Rose","Sport"
736,"Chinese Red","Cat Eye"
737,"Chinese Red","Aviator"
738,"Chinese Red","Rimless"
739,"Chinese Red","Oval"
740,"Chinese Red","Sport"
741,"Chrome Yellow","Cat Eye"
742,"Chrome Yellow","Aviator"
743,"Chrome Yellow","Rimless"
744,"Chrome Yellow","Oval"
745,"Chrome Yellow","Sport"
746,"Cinereous","Cat Eye"
747,"Cinereous","Aviator"
748,"Cinereous","Rimless"
749,"Cinereous","Oval"
750,"Cinereous","Sport"
751,"Cinnabar","Cat Eye"
752,"Cinnabar","Aviator"
753,"Cinnabar","Rimless"
754,"Cinnabar","Oval"
755,"Cinnabar","Sport"
756,"Cinnamon","Cat Eye"
757,"Cinnamon","Aviator"
758,"Cinnamon","Rimless"
759,"Cinnamon","Oval"
760,"Cinnamon","Sport"
761,"Citrine","Cat Eye"
762,"Citrine","Aviator"
763,"Citrine","Rimless"
764,"Citrine","Oval"
765,"Citrine","Sport"
766,"Classic Rose","Cat Eye"
767,"Classic Rose","Aviator"
768,"Classic Rose","Rimless"
769,"Classic Rose","Oval"
770,"Classic Rose","Sport"
771,"Cobalt","Cat Eye"
772,"Cobalt","Aviator"
773,"Cobalt","Rimless"
774,"Cobalt","Oval"
775,"Cobalt","Sport"
776,"Cocoa Brown","Cat Eye"
777,"Cocoa Brown","Aviator"
778,"Cocoa Brown","Rimless"
779,"Cocoa Brown","Oval"
780,"Cocoa Brown","Sport"
781,"Coffee","Cat Eye"
782,"Coffee","Aviator"
783,"Coffee","Rimless"
784,"Coffee","Oval"
785,"Coffee","Sport"
786,"Columbia Blue","Cat Eye"
787,"Columbia Blue","Aviator"
788,"Columbia Blue","Rimless"
789,"Columbia Blue","Oval"
790,"Columbia Blue","Sport"
791,"Congo Pink","Cat Eye"
792,"Congo Pink","Aviator"
793,"Congo Pink","Rimless"
794,"Congo Pink","Oval"
795,"Congo Pink","Sport"
796,"Cool Black","Cat Eye"
797,"Cool Black","Aviator"
798,"Cool Black","Rimless"
799,"Cool Black","Oval"
800,"Cool Black","Sport"
801,"Cool Grey","Cat Eye"
802,"Cool Grey","Aviator"
803,"Cool Grey","Rimless"
804,"Cool Grey","Oval"
805,"Cool Grey","Sport"
806,"Copper","Cat Eye"
807,"Copper","Aviator"
808,"Copper","Rimless"
809,"Copper","Oval"
810,"Copper","Sport"
811,"Copper Penny","Cat Eye"
812,"Copper Penny","Aviator"
813,"Copper Penny","Rimless"
814,"Copper Penny","Oval"
815,"Copper Penny","Sport"
816,"Copper Red","Cat Eye"
817,"Copper Red","Aviator"
818,"Copper Red","Rimless"
819,"Copper Red","Oval"
820,"Copper Red","Sport"
821,"Copper Rose","Cat Eye"
822,"Copper Rose","Aviator"
823,"Copper Rose","Rimless"
824,"Copper Rose","Oval"
825,"Copper Rose","Sport"
826,"Coquelicot","Cat Eye"
827,"Coquelicot","Aviator"
828,"Coquelicot","Rimless"
829,"Coquelicot","Oval"
830,"Coquelicot","Sport"
831,"Coral","Cat Eye"
832,"Coral","Aviator"
833,"Coral","Rimless"
834,"Coral","Oval"
835,"Coral","Sport"
836,"Coral Pink","Cat Eye"
837,"Coral Pink","Aviator"
838,"Coral Pink","Rimless"
839,"Coral Pink","Oval"
840,"Coral Pink","Sport"
841,"Coral Red","Cat Eye"
842,"Coral Red","Aviator"
843,"Coral Red","Rimless"
844,"Coral Red","Oval"
845,"Coral Red","Sport"
846,"Cordovan","Cat Eye"
847,"Cordovan","Aviator"
848,"Cordovan","Rimless"
849,"Cordovan","Oval"
850,"Cordovan","Sport"
851,"Corn","Cat Eye"
852,"Corn","Aviator"
853,"Corn","Rimless"
854,"Corn","Oval"
855,"Corn","Sport"
856,"Cornell Red","Cat Eye"
857,"Cornell Red","Aviator"
858,"Cornell Red","Rimless"
859,"Cornell Red","Oval"
860,"Cornell Red","Sport"
861,"Cornflower Blue","Cat Eye"
862,"Cornflower Blue","Aviator"
863,"Cornflower Blue","Rimless"
864,"Cornflower Blue","Oval"
865,"Cornflower Blue","Sport"
866,"Cornsilk","Cat Eye"
867,"Cornsilk","Aviator"
868,"Cornsilk","Rimless"
869,"Cornsilk","Oval"
870,"Cornsilk","Sport"
871,"Cosmic Latte","Cat Eye"
872,"Cosmic Latte","Aviator"
